,CONTRATAÇÃO DIRETA,CONTRATO,CONVÊNIO E CONGÊNERE,FINANÇAS PÚBLICAS,LICITAÇÃO,LICITAÇÃO INTERNACIONAL,OBRA E SERVIÇO DE ENGENHARIA,OUTRAS ÁREAS,PESSOAL,PLANEJAMENTO DA CONTRATAÇÃO,PRINCÍPIO,PROCESSUAL,PUBLICIDADE E PROPAGANDA,REGULAÇÃO,RESPONSABILIDADE,SERVIÇO TERCEIRIZADO,TECNOLOGIA DA INFORMAÇÃO
0,60,1,1,1,5,0,0,0,2,8,0,0,0,0,1,0,0
1,4,80,1,3,4,0,13,2,2,7,1,1,0,0,7,1,0
2,0,4,86,6,0,0,1,0,0,2,1,8,0,0,24,0,0
3,0,2,4,39,0,0,1,0,7,1,0,15,0,0,5,0,0
4,5,7,2,2,112,0,3,0,1,30,1,2,0,3,15,0,4
5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6,0,13,2,0,2,0,72,0,1,9,0,2,0,0,6,1,1
7,0,0,1,1,0,0,1,10,2,0,1,3,0,0,4,0,0
8,1,0,1,1,2,0,0,0,599,1,4,14,0,0,4,3,0
9,1,6,1,2,20,0,14,1,2,133,0,1,0,0,7,0,4
10,0,0,0,0,0,0,0,0,4,0,4,6,0,0,2,0,0
11,0,0,8,5,3,0,1,1,19,2,1,291,0,0,29,0,0
12,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,1,0,0,0,4,0,13,0,0,0
14,2,5,18,4,7,0,2,0,5,4,0,30,0,0,280,0,0
15,0,3,1,0,0,0,0,0,3,2,0,0,0,0,1,17,1
16,0,2,0,0,1,0,0,0,0,3,0,0,0,0,1,8,61
